paper,title,author,affiliation,cite,year
245,Gasoline consumption in Saudi Arabia: an analysis of consumer attitudes and perceptions using microsurvey data,Mohammed A. Al-Sahlawi,Accounting and Finance Department,1,2018
245,Gasoline consumption in Saudi Arabia: an analysis of consumer attitudes and perceptions using microsurvey data,"Miah, Fazlul",Accounting and Finance Department,1,2018
245,Gasoline consumption in Saudi Arabia: an analysis of consumer attitudes and perceptions using microsurvey data,Omar Al-Titi,Accounting and Finance Department,1,2018
393,"Accuracy, unbiasedness, and efficiency of current account growth forecast: Evidence from a large cross section of developed and developing economies","Miah, Fazlul",Accounting and Finance Department,0,2018
4343,How does fundraising affect volunteering? Evidence from a natural field experiment,"Al-Ubaydli, Omar",Accounting and Finance Department,0,2018
549,Organizational policies and diversity management in Saudi Arabia,Omar Al-Titi,Accounting and Finance Department,1,2019
1475,CORPORATE GOVERNANCE AND RISK AGGRESSIVENESS OF ISLAMIC BANKS AGAINST THE RECENT FINANCIAL CRISIS,"Ulussever, Talat",Accounting and Finance Department,0,2019
1066,The use of performance-based contracting in managing the outsourcing of a reliability-centered maintenance program A case study,"Ahmed, Mirghani N.",Accounting and Finance Department,0,2020
3238,Vertical integration as an input price hedge: The case of Delta Air Lines and trainer refinery,"Almansur, Abdullah Mohammed",Accounting and Finance Department,0,2020
155,How natural field experiments have enhanced our understanding of unemployment,"Al-Ubaydli, Omar",Accounting and Finance Department,1,2019
937,DIVERSITY STRATEGIES: MANAGERIAL PROBLEMS OF PRACTICES AND PERCEPTIONS IN PRIVATE ORGANIZATIONS,Omar Al-Titi,Accounting and Finance Department,0,2019
3607,Risk premium or irrational expectations? An investigation into the causes of forward discount bias across 27 developed and developing economies forward rates,"Miah, Fazlul",Accounting and Finance Department,0,2020
3607,Risk premium or irrational expectations? An investigation into the causes of forward discount bias across 27 developed and developing economies forward rates,Omar Al-Titi,Accounting and Finance Department,0,2020
198,The Efficiency of Listening Tools' Usage in Customer Relationship Management: The case of telecom companies,"Alwahaishi, Saleh",Accounting and Management Information Systems Department,0,2018
198,The Efficiency of Listening Tools' Usage in Customer Relationship Management: The case of telecom companies,"Talet, Amine Nahari",Accounting and Management Information Systems Department,0,2018
404,Selection of Cloud Delivery and Deployment Models: An Expert System Approach,"Al-Jabri, Ibrahim M.",Accounting and Management Information Systems Department,0,2018
2585,A Group Decision-Making Method for Selecting Cloud Computing Service Model,"Al-Jabri, Ibrahim M.",Accounting and Management Information Systems Department,5,2018
4407,Relationship between knowledge-based risk and risk identification,Amine Nehari Talet,Accounting and Management Information Systems Department,0,2018
539,"Different time, different tone: Company life cycle","Hossain, Mahmud",Accounting and Management Information Systems Department,2,2019
1190,"Narrative disclosures, firm life cycle, and audit fees","Hossain, Mahmud",Accounting and Management Information Systems Department,1,2019
1698,Assessing Canadian Business IT Capabilities for Online Selling Adoption: A Net-Enabled Business Innovation Cycle (NEBIC) Perspective,"Alojairi, Ahmad",Accounting and Management Information Systems Department,0,2019
1721,Unintended consequence in implementation of work culture improvement program through peer-coaching in a sales and distribution center of a large multi-national high technology company,"Alojairi, Ahmad",Accounting and Management Information Systems Department,0,2019
3191,Driving Forces for Business Growth in Saudi Arabia: Industrial Cross-Sectional Analysis,"Alojairi, Ahmad",Accounting and Management Information Systems Department,0,2020
3649,Investigating the Mediating Role of Knowledge Sharing on Employee Engagement: Evidence from a Developing Nation,"Al-Jabri, Ibrahim M.",Accounting and Management Information Systems Department,0,2020
4437,Financial Analysis of Improving the Reliability of Critical Power Distribution Networks,"Al-Khaldi, Abdullah",Accounting and Management Information Systems Department,0,2018
4650,Risk monitoring through better knowledge-based risk processes,Amine Nehari Talet,Accounting and Management Information Systems Department,0,2018
878,A socio-technical perception on the impact of project management software in logistics and distribution center: A case study in Saudi Arabia telecommunication company,"Alojairi, Ahmad",Accounting and Management Information Systems Department,1,2019
925,An Optimal Set of Features for Multi-Class Heart Beat Abnormality Classification,"Al-Jabri, Ibrahim M.",Accounting and Management Information Systems Department,1,2019
956,Constraining Opportunism in Information Systems Consulting: A Three Nation Examination,"Al-Jabri, Ibrahim M.",Accounting and Management Information Systems Department,2,2019
3565,The willingness to disclose personal information: Trade-off between privacy concerns and benefits,"Al-Jabri, Ibrahim M.",Accounting and Management Information Systems Department,0,2020
4017,Dynamic Asphaltene-Stearic Acid Competition at the Oil-Water Interface,"Abdelrahman, Wael",Aerospace Engineering Department,15,2018
94,ANN-BASED FAILURE MODELING OF CLASSES OF AIRCRAFT ENGINE COMPONENTS USING RADIAL BASIS FUNCTIONS,"Al-Garni, Ahmed",Aerospace Engineering Department,1,2019
94,ANN-BASED FAILURE MODELING OF CLASSES OF AIRCRAFT ENGINE COMPONENTS USING RADIAL BASIS FUNCTIONS,"Abdelrahman, Wael",Aerospace Engineering Department,1,2019
94,ANN-BASED FAILURE MODELING OF CLASSES OF AIRCRAFT ENGINE COMPONENTS USING RADIAL BASIS FUNCTIONS,"Abdallah, Ayman",Aerospace Engineering Department,1,2019
115,Performance comparison of a single slope solar still equipped with water heater and an external fan during summer and winter,"Al-Garni, Ahmed",Aerospace Engineering Department,1,2019
115,Performance comparison of a single slope solar still equipped with water heater and an external fan during summer and winter,"Abdelrahman, W. G.",Aerospace Engineering Department,1,2019
1130,Improving the performance of thermal management system for electric and hybrid electric vehicles by adding an ejector,"Qasem, Naef A. A.",Aerospace Engineering Department,1,2019
1271,Summer and winter comparison of productivity improvement in a single slope solar still by using external mirrors,"Al-Garni, Ahmed",Aerospace Engineering Department,0,2019
1271,Summer and winter comparison of productivity improvement in a single slope solar still by using external mirrors,Salman Al-Fifi,Aerospace Engineering Department,0,2019
1582,Numerical Study of Variable Camber Continuous Trailing Edge Flap at Off-Design Conditions,Prasetyo Edi,Aerospace Engineering Department,1,2019
2047,Experimental and numerical investigation on innovative masonry walls for industrial and residential buildings,"Qasem, Naef A. A.",Aerospace Engineering Department,0,2020
2129,Selectively capturing carbon dioxide from mixed gas streams using a new microporous organic copolymer,"Qasem, Naef A. A.",Aerospace Engineering Department,1,2020
2176,Exergy-based entropy-generation analysis of electrodialysis desalination systems,"Qasem, Naef A. A.",Aerospace Engineering Department,0,2020
