,Accounting and Finance Department,Accounting and Management Information Systems Department,Aerospace Engineering Department,Architectural Engineering Department,Architecture Department,Carbon Capture and Sequestration Research Center,Chemical Engineering Department,Chemistry Department,City and Regional Planning Department,Civil and Environmental Engineering Department,Civil Engineering Department,Computer Engineering Department,Construction Engineering and Management Department,Corrosion Research Excellence Center,Dammam Community College,Electrical Engineering Department,Energy Efficiency Research Excellence Center,Energy Research and Innovation Center,Engineering Research Center,English Language Department,Engn Technol Program,Environment & Water Research Center,Environment and Water Research Center,General Studies Department,Geosciences Department,Global and Social Studies Department,Graduate Studies,Hafr Al-Batin Community College,Information and Communication Technology Center,Information and Computer Science Department,Information System & Operations Management Department,Integrative Petroleum Research Center,Islamic Banking and Finance Research Excellence Center,Life Sciences Department,Management and Marketing Department,Mathematics and Statistics Department,Mechanical Engineering Department,Modeling and Computer Simulation Research Center,Nanotechnology Research Excellence Center,Petroleum Engineering Department,Physical Education Department,Physics Department,Preparatory Year Program,Projects Department,Refining & Petrochemicals Research Excellence Center,Refining and Petrochemicals Research Excellence Center,Renewable Energy Research Excellence Center,Science Research Excellence Center MIT Collaboration,Systems Engineering Department
Accounting and Finance Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accounting and Management Information Systems Department,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aerospace Engineering Department,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0,0,0,0,0
Architectural Engineering Department,0,0,0,0,1,0,0,1,4,1,0,0,11,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Architecture Department,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Capture and Sequestration Research Center,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,7,0,0,1,0,0,0,0,1,0,0
Chemical Engineering Department,0,0,0,0,0,3,0,33,0,5,0,0,0,2,0,7,0,0,6,0,0,0,7,0,5,0,0,1,0,0,0,8,0,2,0,1,10,0,107,9,0,4,0,1,2,26,10,0,0
Chemistry Department,0,1,1,1,0,4,33,0,0,17,0,0,0,32,1,8,1,5,9,0,0,1,30,0,13,0,0,1,0,6,2,15,0,5,0,1,22,0,94,2,0,20,0,0,0,9,28,0,0
City and Regional Planning Department,0,0,0,4,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civil and Environmental Engineering Department,0,0,1,1,2,0,5,17,5,0,0,1,0,5,0,7,0,0,32,0,0,0,3,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,13,0,0,5,0,1,0,0,8,0,0
