author,affiliation
A K M Kausarul Islam,Architecture Department
A. Abokhodair,Geosciences Department
A. Laradji,Mathematics and Statistics Department
A. Madhan Kumar,Corrosion Research Excellence Center
A.Adly Kh. Al-Saafin,Geosciences Department
A.H.Abdur-Rahim,Electrical Engineering Department
"A.Shawky,Ibrahim",Mathematics and Statistics Department
A/R Howsawi,Islamic & Arabic Studies Department
Abbas Ahmed Ibrahim Albu Shaqraa,Civil and Environmental Engineering Department
Abbas Hakeem,Nanotechnology Research Excellence Center
Abbas Taqi Abdrab Alhussian Al-Saif,Physical Education Department
"Abd-El-Barr, Mostafa Ibrahim Hassanin",Computer Engineering Department
Abd-Nacer Bouchekhima,Information and Computer Science Department
Abdalla Abulkibash,Chemistry Department
Abdalla Said,Physical Education Department
Abdallah Al-Ahmari,Electrical Engineering Department
Abdallah Al-Sukairi,Information and Computer Science Department
Abdallah Harouaka,Research Institute
Abdallah M Elamin,Management and Marketing Department
Abdallah M. Al Zahrani,Physics Department
Abdalrhuman Hamad Al-Khaledi,Islamic & Arabic Studies Department
Abdel-Aal Hassan Mantawy,Electrical Engineering Department
Abdel-Nasser Kawde,Chemistry Department
Abdel-Salam M. Eleiche,Mechanical Engineering Department
Abdelkader Boucherif,Mathematics and Statistics Department
Abdelkarim Mekki,Physics Department
Abdelmalek Zidouri,Electrical Engineering Department
Abdelouahab Bentrcia,Electrical Engineering Department
Abdelsalam Mohammad Al-Sarkhi,Mechanical Engineering Department
Abdelwahab Kharab,Mathematics and Statistics Department
Abdeslam Mimouni,Mathematics and Statistics Department
Abdeslem Lyaghfouri,Mathematics and Statistics Department
Abdouelilah Hachimi,Nanotechnology Research Excellence Center
Abduallah Mohsen Baduraig,Chemical Engineering Department
Abdul Aleem B. Jabbar,Mechanical Engineering Department
Abdul Hadi Alhulimy,Accounting and Management Information Systems Department
Abdul Malik Peedikakal,Chemistry Department
Abdul Malik Puthan Peedikakkal,Chemistry Department
Abdul Muttaleb Yousefjaber,Chemistry Department
Abdul Qadar Kara,Systems Engineering Department
Abdul Rahim Khan,Mathematics and Statistics Department
Abdul Rahman A. Almulhem,Management and Marketing Department
Abdul Rahman Al-Arfaj,Chemistry Department
Abdul Rehman,Chemistry Department
Abdul-Hamid J. Al-Tayyib,Civil and Environmental Engineering Department
"Abdul-Mohsen, Al-Hammad",Architectural Engineering Department
Abdul-Rahman D. Al-Shallali,Mathematics and Statistics Department
Abdulazeez Abdulraheem,Petroleum Engineering Department
Abdulaziz A. Al Majed,Petroleum Engineering Department
Abdulaziz A. Bubshait,Construction Engineering and Management Department
Abdulaziz A. Suwaiyan,Chemistry Department
