paper,area,year
181,Chemistry,2018
181,Materials Science,2018
181,Physics,2018
182,Science & Technology - Other Topics,2018
182,Materials Science,2018
183,Engineering,2018
184,Science & Technology - Other Topics,2018
184,Engineering,2018
184,Environmental Sciences & Ecology,2018
185,Chemistry,2018
186,Geology,2018
187,Geochemistry & Geophysics,2018
187,Mineralogy,2018
188,Materials Science,2018
189,Thermodynamics,2018
189,Energy & Fuels,2018
190,Chemistry,2018
190,Physics,2018
191,Chemistry,2018
192,Engineering,2018
192,Materials Science,2018
193,Chemistry,2018
194,Chemistry,2018
195,Mathematics,2018
196,Engineering,2018
196,Materials Science,2018
196,Mechanics,2018
197,Operations Research & Management Science,2018
197,Mathematics,2018
198,Communication,2018
199,Computer Science,2018
200,Environmental Sciences & Ecology,2018
200,"Public, Environmental & Occupational Health",2018
201,Optics,2018
202,Energy & Fuels,2018
203,Energy & Fuels,2018
204,Chemistry,2018
205,Biochemistry & Molecular Biology,2018
205,Chemistry,2018
206,Science & Technology - Other Topics,2018
206,Environmental Sciences & Ecology,2018
207,Construction & Building Technology,2018
207,Engineering,2018
208,Automation & Control Systems,2018
208,Computer Science,2018
209,Science & Technology - Other Topics,2018
210,Science & Technology - Other Topics,2018
211,Pharmacology & Pharmacy,2018
212,Engineering,2018
213,Energy & Fuels,2018
213,Engineering,2018
214,Energy & Fuels,2018
214,Engineering,2018
215,Chemistry,2018
215,Physics,2018
216,Mechanics,2018
216,Physics,2018
217,Chemistry,2018
217,Science & Technology - Other Topics,2018
217,Environmental Sciences & Ecology,2018
218,Chemistry,2018
219,Materials Science,2018
219,Optics,2018
220,Chemistry,2018
220,Science & Technology - Other Topics,2018
220,Engineering,2018
221,Science & Technology - Other Topics,2018
222,Pharmacology & Pharmacy,2018
222,Toxicology,2018
223,Engineering,2018
224,Transportation,2018
225,Materials Science,2018
226,Engineering,2018
227,Thermodynamics,2018
227,Energy & Fuels,2018
228,Thermodynamics,2018
228,Energy & Fuels,2018
228,Mechanics,2018
229,Environmental Sciences & Ecology,2018
230,Biophysics,2018
231,Engineering,2018
231,Optics,2018
231,Physics,2018
232,Automation & Control Systems,2018
232,Computer Science,2018
233,Engineering,2018
233,Telecommunications,2018
234,Thermodynamics,2018
234,Engineering,2018
235,Polymer Science,2018
236,Energy & Fuels,2018
237,Energy & Fuels,2018
237,Engineering,2018
238,Energy & Fuels,2018
238,Engineering,2018
239,Chemistry,2018
240,Geology,2018
241,Materials Science,2018
242,Materials Science,2018
243,Metallurgy & Metallurgical Engineering,2018
244,Chemistry,2018
245,Business & Economics,2018
246,Optics,2018
246,Physics,2018
247,Geochemistry & Geophysics,2018
247,Engineering,2018
248,Physics,2018
249,Science & Technology - Other Topics,2018
249,Energy & Fuels,2018
250,Computer Science,2018
250,Engineering,2018
250,Robotics,2018
251,Life Sciences & Biomedicine - Other Topics,2018
252,Engineering,2018
253,Energy & Fuels,2018
253,Engineering,2018
254,Chemistry,2018
254,Materials Science,2018
255,Metallurgy & Metallurgical Engineering,2018
256,Science & Technology - Other Topics,2018
257,Geology,2018
258,Business & Economics,2018
258,Psychology,2018
259,Engineering,2018
259,Materials Science,2018
260,Mathematics,2018
261,Chemistry,2018
261,Materials Science,2018
261,Physics,2018
262,Telecommunications,2018
263,Fisheries,2018
264,Materials Science,2018
265,Mathematics,2018
266,Energy & Fuels,2018
266,Engineering,2018
267,Optics,2018
267,Physics,2018
268,Construction & Building Technology,2018
268,Engineering,2018
268,Materials Science,2018
269,Materials Science,2018
269,Physics,2018
270,Construction & Building Technology,2018
270,Engineering,2018
270,Materials Science,2018
271,Chemistry,2018
271,Science & Technology - Other Topics,2018
271,Materials Science,2018
272,Physics,2018
273,Automation & Control Systems,2018
273,Engineering,2018
273,Instruments & Instrumentation,2018
274,Engineering,2018
275,Chemistry,2018
275,Energy & Fuels,2018
275,Materials Science,2018
276,Construction & Building Technology,2018
276,Engineering,2018
276,Materials Science,2018
277,Chemistry,2018
277,Electrochemistry,2018
277,Instruments & Instrumentation,2018
278,Science & Technology - Other Topics,2018
278,Energy & Fuels,2018
278,Engineering,2018
279,Business & Economics,2018
279,Operations Research & Management Science,2018
280,Chemistry,2018
280,Engineering,2018
281,Energy & Fuels,2018
281,Engineering,2018
282,Thermodynamics,2018
282,Energy & Fuels,2018
282,Mechanics,2018
283,Energy & Fuels,2018
283,Engineering,2018
284,Environmental Sciences & Ecology,2018
285,Chemistry,2018
285,Science & Technology - Other Topics,2018
285,Materials Science,2018
285,Physics,2018
286,Materials Science,2018
286,Physics,2018
287,Mathematics,2018
288,Mathematics,2018
289,General & Internal Medicine,2018
290,General & Internal Medicine,2018
291,General & Internal Medicine,2018
292,General & Internal Medicine,2018
293,General & Internal Medicine,2018
294,Chemistry,2018
295,Chemistry,2018
296,Chemistry,2018
296,Science & Technology - Other Topics,2018
296,Engineering,2018
297,Chemistry,2018
298,Environmental Sciences & Ecology,2018
298,"Public, Environmental & Occupational Health",2018
299,Spectroscopy,2018
300,Engineering,2018
301,Engineering,2018
302,Engineering,2018
303,Geochemistry & Geophysics,2018
304,Chemistry,2018
304,Physics,2018
305,Engineering,2018
305,Psychology,2018
306,Chemistry,2018
306,Engineering,2018
306,Materials Science,2018
306,Physics,2018
307,Chemistry,2018
307,Materials Science,2018
307,Physics,2018
308,Science & Technology - Other Topics,2018
309,Science & Technology - Other Topics,2018
310,Science & Technology - Other Topics,2018
311,Science & Technology - Other Topics,2018
312,Geology,2018
313,Engineering,2018
314,Chemistry,2018
314,Materials Science,2018
315,Mechanics,2018
315,Materials Science,2018
316,Computer Science,2018
316,Engineering,2018
317,Engineering,2018
317,Water Resources,2018
318,Chemistry,2018
318,Electrochemistry,2018
319,Energy & Fuels,2018
320,Energy & Fuels,2018
321,Energy & Fuels,2018
322,Energy & Fuels,2018
322,Engineering,2018
323,Energy & Fuels,2018
323,Engineering,2018
324,Energy & Fuels,2018
324,Engineering,2018
325,Physics,2018
326,Biochemistry & Molecular Biology,2018
326,Chemistry,2018
326,Polymer Science,2018
327,Materials Science,2018
328,Chemistry,2018
328,Physics,2018
329,Chemistry,2018
329,Science & Technology - Other Topics,2018
329,Materials Science,2018
329,Physics,2018
330,Chemistry,2018
330,Materials Science,2018
331,Engineering,2018
332,Engineering,2018
332,Optics,2018
333,Biochemistry & Molecular Biology,2018
333,Chemistry,2018
334,Computer Science,2018
335,Engineering,2018
336,Science & Technology - Other Topics,2018
336,Environmental Sciences & Ecology,2018
337,Chemistry,2018
337,Engineering,2018
338,Chemistry,2018
339,Chemistry,2018
340,Automation & Control Systems,2018
340,Instruments & Instrumentation,2018
341,Construction & Building Technology,2018
341,Engineering,2018
341,Mechanics,2018
342,Psychology,2018
343,Energy & Fuels,2018
343,Engineering,2018
344,Computer Science,2018
345,Science & Technology - Other Topics,2018
346,Energy & Fuels,2018
346,Engineering,2018
347,Pharmacology & Pharmacy,2018
348,Engineering,2018
349,Science & Technology - Other Topics,2018
349,Energy & Fuels,2018
349,Engineering,2018
350,Materials Science,2018
351,Automation & Control Systems,2018
351,Engineering,2018
352,Chemistry,2018
352,Physics,2018
353,Chemistry,2018
353,Physics,2018
354,Energy & Fuels,2018
355,Science & Technology - Other Topics,2018
356,Science & Technology - Other Topics,2018
357,Science & Technology - Other Topics,2018
358,Science & Technology - Other Topics,2018
359,Materials Science,2018
360,Chemistry,2018
361,Polymer Science,2018
362,Energy & Fuels,2018
362,Engineering,2018
363,Energy & Fuels,2018
363,Engineering,2018
364,Thermodynamics,2018
364,Engineering,2018
364,Mechanics,2018
365,Materials Science,2018
365,Metallurgy & Metallurgical Engineering,2018
366,Science & Technology - Other Topics,2018
366,Energy & Fuels,2018
367,Optics,2018
367,Physics,2018
368,Science & Technology - Other Topics,2018
368,Energy & Fuels,2018
369,Engineering,2018
369,Telecommunications,2018
370,Engineering,2018
371,Chemistry,2018
371,Physics,2018
372,Chemistry,2018
373,Geriatrics & Gerontology,2018
373,Neurosciences & Neurology,2018
374,Chemistry,2018
375,Polymer Science,2018
376,Astronomy & Astrophysics,2018
376,Physics,2018
377,Chemistry,2018
377,Electrochemistry,2018
377,Energy & Fuels,2018
378,Chemistry,2018
378,Science & Technology - Other Topics,2018
378,Materials Science,2018
379,Chemistry,2018
380,Chemistry,2018
381,Chemistry,2018
381,Physics,2018
382,Energy & Fuels,2018
382,Engineering,2018
383,Chemistry,2018
383,Materials Science,2018
383,Physics,2018
384,Thermodynamics,2018
384,Energy & Fuels,2018
384,Mechanics,2018
385,Science & Technology - Other Topics,2018
386,Energy & Fuels,2018
386,Engineering,2018
387,Energy & Fuels,2018
387,Engineering,2018
388,Mathematics,2018
389,Optics,2018
390,Thermodynamics,2018
390,Energy & Fuels,2018
390,Mechanics,2018
391,Mechanics,2018
391,Materials Science,2018
392,Mechanics,2018
392,Materials Science,2018
393,Business & Economics,2018
394,Energy & Fuels,2018
394,Nuclear Science & Technology,2018
395,Engineering,2018
396,Engineering,2018
397,Science & Technology - Other Topics,2018
398,Physics,2018
399,Chemistry,2018
400,Computer Science,2018
400,Engineering,2018
401,Science & Technology - Other Topics,2018
402,International Relations,2018
403,Engineering,2018
404,Computer Science,2018
405,Business & Economics,2018
406,Chemistry,2018
407,Paleontology,2018
408,Chemistry,2018
408,Science & Technology - Other Topics,2018
408,Engineering,2018
409,Thermodynamics,2018
409,Energy & Fuels,2018
409,Engineering,2018
409,Mechanics,2018
410,Science & Technology - Other Topics,2018
411,Science & Technology - Other Topics,2018
412,Materials Science,2018
413,Materials Science,2018
414,Chemistry,2018
414,Electrochemistry,2018
415,Energy & Fuels,2018
416,Thermodynamics,2018
416,Energy & Fuels,2018
417,Energy & Fuels,2018
417,Engineering,2018
418,Thermodynamics,2018
418,Mechanics,2018
419,Engineering,2018
419,Telecommunications,2018
420,Science & Technology - Other Topics,2018
420,Energy & Fuels,2018
420,Engineering,2018
421,Thermodynamics,2018
421,Engineering,2018
421,Mechanics,2018
422,Thermodynamics,2018
422,Mechanics,2018
423,Thermodynamics,2018
423,Engineering,2018
424,Thermodynamics,2018
424,Engineering,2018
425,Materials Science,2018
425,Physics,2018
426,Metallurgy & Metallurgical Engineering,2018
427,Energy & Fuels,2018
428,Energy & Fuels,2018
429,Energy & Fuels,2018
430,Science & Technology - Other Topics,2018
430,Environmental Sciences & Ecology,2018
431,Environmental Sciences & Ecology,2018
431,Evolutionary Biology,2018
431,Genetics & Heredity,2018
432,Science & Technology - Other Topics,2018
432,Materials Science,2018
432,Physics,2018
433,Energy & Fuels,2018
433,Engineering,2018
434,Science & Technology - Other Topics,2018
435,Engineering,2018
436,Automation & Control Systems,2018
437,Mechanics,2018
438,Engineering,2018
439,Thermodynamics,2018
439,Engineering,2018
440,Engineering,2018
441,Construction & Building Technology,2018
441,Engineering,2018
441,Mechanics,2018
442,Engineering,2018
442,Telecommunications,2018
443,Biochemistry & Molecular Biology,2018
443,Biophysics,2018
444,Environmental Sciences & Ecology,2018
444,"Public, Environmental & Occupational Health",2018
444,Microbiology,2018
444,Water Resources,2018
445,Engineering,2018
445,Telecommunications,2018
446,Thermodynamics,2018
446,Energy & Fuels,2018
447,Thermodynamics,2018
447,Energy & Fuels,2018
447,Mechanics,2018
