paper,title,author,affiliation,cite,year,collabs
0,"Crystal structure of (E)-3-(3-(5-methyl-1-phenyl-1H-1,2,3-triazol-4-yl)-1-phenyl-1H-pyrazol-4-yl)-1-phenylprop-2-en-1-one, C27H21N5O","el-hiti, gamal a.",Optometry Department,0,2020,0
1,"Crystal structure of (E)-N'-((4-aminophenyl)sulfonyl)-N,N-dimethylformimidamide, C9H13N3O2S","abdel-aziz, alaa a-m",Pharmaceutical Chemistry Department,0,2020,0
2,"Crystal structure of 6-iodo-3-phenyl-2-propylquinazolin-4(3H)-one, C17H15IN2O","el-azab, adel s.",Pharmaceutical Chemistry Department,0,2020,0
3,"The crystal structure of (Z)-3-hydrazono-5-nitroindolin-2-one - dimethyl sulfoxide (1/1), C8H6N4O3","al-obaid, abdulrahman m.",Pharmaceutical Chemistry Department,0,2020,1
4,"Supercapacitor and OER activity of transition metal (Mo, Co, Cu) sulphides","hasan, zinab m.",Physics & Astronomy Department,5,2020,0
6,Assessment of radioactivity contents in bedrock groundwater samples from the northern region of Saudi Arabia,"almasoud, fahad, i",Soil Science Department,1,2020,0
7,Wet chemical route synthesis of spinel oxide nano-catalysts for photocatalytic applications,"shakir, imran",Sustainable Energy Technology Center,2,2020,0
8,"A novel deep eutectic solvent microextraction procedure for enrichment, separation and atomic absorption spectrometric determination of palladium at ultra-trace levels in environmental samples","alothman, zeid a.",Chemistry Department,4,2020,0
10,"Electric vehicles standards, charging infrastructure, and impact on grid integration: A technological review","rahman, m. m.",Electrical Engineering Department,14,2020,0
11,Dual-ion batteries: The emerging alternative rechargeable batteries,"atif, muhammad",Physics & Astronomy Department,15,2020,0
12,Utilization of waste polyethylene terephthalate bottles to develop metal-organic frameworks for energy applications: A clean and feasible approach,"al-enizi, abdullah m.",Chemistry Department,1,2020,0
13,Response of plant physiological attributes to altitudinal gradient: Plant adaptation to temperature variation in the Himalayan region,"abd allah, elsayed fathi",Plant Production Department,1,2020,0
14,"Wheat biological responses to stress caused by cadmium, nickel and lead","abdel-daim, mohamed m.",Zoology Department,2,2020,0
15,CuAlMnV shape memory alloy thin film based photosensitive diode,"farooq, w. a.",Physics & Astronomy Department,3,2020,1
16,Fabrication and electrochemical OER activity of Ag doped MoO3 nanorods,"ameen, fuad",Botany & Microbiology Department,2,2020,1
17,A facile synthesis of Bi@PbS nanosheets and their key physical properties analysis for optoelectronic technology,"khan, aslam",King Abdullah Institute Nanotechnology,17,2020,0
