author,affiliation
"el-hiti, gamal a.",Optometry Department
"abdel-aziz, alaa a-m",Pharmaceutical Chemistry Department
"el-azab, adel s.",Pharmaceutical Chemistry Department
"obaidullaha, ahmad j.",Pharmaceutical Chemistry Department
"el-azab, adel s.",Pharmaceutical Chemistry Department
"abdel-aziz, alaa a-m",Pharmaceutical Chemistry Department
"alkahtani, hamad m.",Pharmaceutical Chemistry Department
"al-obaid, abdulrahman m.",Pharmaceutical Chemistry Department
"alkahtani, hamad m.",Pharmaceutical Chemistry Department
"ahmed, bari",Pharmaceutical Chemistry Department
"syed, saeed ali",Research Center
"bari, a.",Research Center
"hasan, zinab m.",Physics & Astronomy Department
"almogren, ahmad s.",Research Chair Cyber Secur
"almogren, ahmad s.",Computer Science Department
"almasoud, fahad, i",Soil Science Department
"shakir, imran",Sustainable Energy Technology Center
"alothman, zeid a.",Chemistry Department
"habila, mohamed a.",Chemistry Department
"alabdullkarem, e. a.",Chemistry Department
"sethi, waleed t.",Kacst Technololgy Innovat Center Radio Frequency & Photonics
"alshebeili, saleh a.",Kacst Technololgy Innovat Center Radio Frequency & Photonics
"abdel-rahman, m.",Electrical Engineering Department
"alshawi, tariq",Electrical Engineering Department
"alshebeili, saleh a.",Electrical Engineering Department
"rahman, m. m.",Electrical Engineering Department
"atif, muhammad",Physics & Astronomy Department
"alsalhi, mohamad s.",Physics & Astronomy Department
"al-enizi, abdullah m.",Chemistry Department
"ahmed, jahangeer",Chemistry Department
"ubaidullah, mohd",Chemistry Department
"shaikh, shoyebmohamad f.",Chemistry Department
"ahamad, tansir",Chemistry Department
"naushad, mu.",Chemistry Department
"abd allah, elsayed fathi",Plant Production Department
"alqarawi, abdulaziz a.",Plant Production Department
"abdel-daim, mohamed m.",Zoology Department
"farooq, w. a.",Physics & Astronomy Department
"atif, m.",Physics & Astronomy Department
"hanif, atif",Botany & Microbiology Department
"ameen, fuad",Botany & Microbiology Department
"alnadhari, saleh",Plant Protection Department
"khan, aslam",King Abdullah Institute Nanotechnology
"el-toni, ahmed mohamed",King Abdullah Institute Nanotechnology
"hamdaoui, oualid",Chemical Engineering Department
"ahamad, tansir",Chemistry Department
"alshehri, saad m.",Chemistry Department
"okla, mohammad k.",Biology Department
"alamri, saudi a.",Biology Department
"alaraidh, ibrahim a.",Biology Department
"al-ghamdi, abdullah a.",Biology Department
"abdelsalam, eslam m.",Biology Department
"soufan, walid",Plant Production Department
"al-basher, ghada",Zoology Department
