paper,area,year
0,Crystallography,2020.0
1,Crystallography,2020.0
1,Crystallography,2020.0
1,Crystallography,2020.0
2,Crystallography,2020.0
2,Crystallography,2020.0
2,Crystallography,2020.0
3,Crystallography,2020.0
3,Crystallography,2020.0
3,Crystallography,2020.0
3,Crystallography,2020.0
3,Crystallography,2020.0
4,Chemistry,2020.0
4, Physics,2020.0
5,Computer Science,2020.0
5,Computer Science,2020.0
6,Environmental Sciences & Ecology,2020.0
7,Physics,2020.0
7,Physics,2020.0
8,Engineering,2020.0
8, Instruments & Instrumentation,2020.0
8,Engineering,2020.0
8, Instruments & Instrumentation,2020.0
8,Engineering,2020.0
8, Instruments & Instrumentation,2020.0
9,Engineering,2020.0
9, Instruments & Instrumentation,2020.0
9,Engineering,2020.0
9, Instruments & Instrumentation,2020.0
9,Engineering,2020.0
9, Instruments & Instrumentation,2020.0
9,Engineering,2020.0
9, Instruments & Instrumentation,2020.0
9,Engineering,2020.0
9, Instruments & Instrumentation,2020.0
10,Science & Technology - Other Topics,2020.0
10, Energy & Fuels,2020.0
11,Chemistry,2020.0
11, Science & Technology - Other Topics,2020.0
11, Materials Science,2020.0
12,Science & Technology - Other Topics,2020.0
12, Engineering,2020.0
12, Environmental Sciences & Ecology,2020.0
12,Science & Technology - Other Topics,2020.0
12, Engineering,2020.0
12, Environmental Sciences & Ecology,2020.0
12,Science & Technology - Other Topics,2020.0
12, Engineering,2020.0
12, Environmental Sciences & Ecology,2020.0
12,Science & Technology - Other Topics,2020.0
12, Engineering,2020.0
12, Environmental Sciences & Ecology,2020.0
12,Science & Technology - Other Topics,2020.0
12, Engineering,2020.0
12, Environmental Sciences & Ecology,2020.0
12,Science & Technology - Other Topics,2020.0
12, Engineering,2020.0
12, Environmental Sciences & Ecology,2020.0
13,Environmental Sciences & Ecology,2020.0
13,Environmental Sciences & Ecology,2020.0
14,Environmental Sciences & Ecology,2020.0
15,Engineering,2020.0
15, Materials Science,2020.0
15, Physics,2020.0
15,Engineering,2020.0
15, Materials Science,2020.0
15, Physics,2020.0
15,Engineering,2020.0
15, Materials Science,2020.0
15, Physics,2020.0
16,Engineering,2020.0
16, Materials Science,2020.0
16, Physics,2020.0
16,Engineering,2020.0
16, Materials Science,2020.0
16, Physics,2020.0
17,Engineering,2020.0
17, Materials Science,2020.0
17, Physics,2020.0
17,Engineering,2020.0
17, Materials Science,2020.0
17, Physics,2020.0
18,Acoustics,2020.0
18, Chemistry,2020.0
19,Optics,2020.0
19, Physics,2020.0
19,Optics,2020.0
19, Physics,2020.0
20,Chemistry,2020.0
20, Polymer Science,2020.0
20,Chemistry,2020.0
20, Polymer Science,2020.0
20,Chemistry,2020.0
20, Polymer Science,2020.0
20,Chemistry,2020.0
20, Polymer Science,2020.0
20,Chemistry,2020.0
20, Polymer Science,2020.0
20,Chemistry,2020.0
20, Polymer Science,2020.0
21,Engineering,2020.0
22,Science & Technology - Other Topics,2020.0
22, Physics,2020.0
22,Science & Technology - Other Topics,2020.0
22, Physics,2020.0
22,Science & Technology - Other Topics,2020.0
22, Physics,2020.0
22,Science & Technology - Other Topics,2020.0
22, Physics,2020.0
23,Mathematics,2020.0
24,Mathematics,2020.0
25,Optics,2020.0
26,Computer Science,2020.0
26,Computer Science,2020.0
26,Computer Science,2020.0
27,Chemistry,2020.0
27, Food Science & Technology,2020.0
27, Nutrition & Dietetics,2020.0
29,Chemistry,2020.0
29, Science & Technology - Other Topics,2020.0
29, Materials Science,2020.0
31,Biotechnology & Applied Microbiology,2020.0
31, Research & Experimental Medicine,2020.0
31,Biotechnology & Applied Microbiology,2020.0
31, Research & Experimental Medicine,2020.0
31,Biotechnology & Applied Microbiology,2020.0
31, Research & Experimental Medicine,2020.0
32,Environmental Sciences & Ecology,2020.0
33,Chemistry,2020.0
34,Parasitology,2020.0
34, Tropical Medicine,2020.0
35,Operations Research & Management Science,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
36,Endocrinology & Metabolism,2020.0
37,Geology,2020.0
38,Biotechnology & Applied Microbiology,2020.0
38, Genetics & Heredity,2020.0
38,Biotechnology & Applied Microbiology,2020.0
38, Genetics & Heredity,2020.0
38,Biotechnology & Applied Microbiology,2020.0
38, Genetics & Heredity,2020.0
39,Science & Technology - Other Topics,2020.0
39,Science & Technology - Other Topics,2020.0
39,Science & Technology - Other Topics,2020.0
39,Science & Technology - Other Topics,2020.0
39,Science & Technology - Other Topics,2020.0
40,Biotechnology & Applied Microbiology,2020.0
40, Research & Experimental Medicine,2020.0
40,Biotechnology & Applied Microbiology,2020.0
40, Research & Experimental Medicine,2020.0
41,"Dentistry, Oral Surgery & Medicine",2020.0
41,"Dentistry, Oral Surgery & Medicine",2020.0
41,"Dentistry, Oral Surgery & Medicine",2020.0
41,"Dentistry, Oral Surgery & Medicine",2020.0
42,Computer Science,2020.0
42, Engineering,2020.0
42, Telecommunications,2020.0
43,Science & Technology - Other Topics,2020.0
43, Materials Science,2020.0
44,Research & Experimental Medicine,2020.0
45,Science & Technology - Other Topics,2020.0
45,Science & Technology - Other Topics,2020.0
45,Science & Technology - Other Topics,2020.0
46,Science & Technology - Other Topics,2020.0
46, Materials Science,2020.0
47,Neurosciences & Neurology,2020.0
48,Oncology,2020.0
48,Oncology,2020.0
48,Oncology,2020.0
48,Oncology,2020.0
48,Oncology,2020.0
49,Chemistry,2020.0
49,Chemistry,2020.0
50,Construction & Building Technology,2020.0
50, Engineering,2020.0
50, Materials Science,2020.0
50,Construction & Building Technology,2020.0
50, Engineering,2020.0
50, Materials Science,2020.0
51,Biochemistry & Molecular Biology,2020.0
51, Biotechnology & Applied Microbiology,2020.0
51,Biochemistry & Molecular Biology,2020.0
51, Biotechnology & Applied Microbiology,2020.0
51,Biochemistry & Molecular Biology,2020.0
51, Biotechnology & Applied Microbiology,2020.0
51,Biochemistry & Molecular Biology,2020.0
51, Biotechnology & Applied Microbiology,2020.0
52,Materials Science,2020.0
