paper,title,author,affiliation,cite,year,collabs
1,"Paleo-inspired Systems: Durability, Sustainability, and Remarkable Properties","masic, admir",Civil & Environmental Engineering Department,8,2018,0
3,Ongoing River Capture in the Amazon,"stokes, maya f.",Earth Atmospheric & Planetary Science Department,10,2018,0
4,Progress in Aqueous Rechargeable Sodium-Ion Batteries,"suo, liumin",Nuclear Science & Engineering Department,93,2018,0
5,Estimates of ozone return dates from Chemistry-Climate Model Initiative simulations,"stone, kane",Nuclear Science & Engineering Department,38,2018,0
8,Optimal control of HVAC and window systems for natural ventilation through reinforcement learning,"norford, leslie k.",Nuclear Science & Engineering Department,44,2018,0
9,Stabilization and blowout characteristics of lean premixed turbulent flames behind a backward-facing step in a rectangular combustor with heated propane-air mixtures,"ghoniem, ahmed f.",Mechanical Engineering Department,1,2018,0
10,Multiple sulfur-isotopic evidence for a shallowly stratified ocean following the Triassic-Jurassic boundary mass extinction,"luo, genming",Earth Atmospheric & Planetary Science Department,8,2018,0
11,Soft Range Information for Network Localization,"mazuelas, santiago",Wireless Information & Network Science Lab,26,2018,1
12,Direct numerical simulation of continuous lithium extraction from high Mg2+/Li+ ratio brines using microfluidic channels with ion concentration polarization,"ouyang, wei",Electrical Engineering & Computer Science Department,20,2018,1
13,"Comparison of fouling propensity between reverse osmosis, forward osmosis, and membrane distillation","tow, emily w.",Mechanical Engineering Department,42,2018,1
14,Failure in lithium-ion batteries under transverse indentation loading,"chung, seung hyun",Chemical Engineering Department,28,2018,0
15,Reply to Comment on 'Ultrafast terahertz-field-driven ionic response in ferroelectric BaTiO3',"hwang, h. y.",Chemical Department,1,2018,0
16,Robust non-Abelian spin liquid and a possible intermediate phase in the antiferromagnetic Kitaev model with magnetic field,"zhu, zheng",Physical Department,34,2018,0
18,Sensing Coherent Dynamics of Electronic Spin Clusters in Solids,"pham, l. m.",Lincoln Lab,8,2018,0
19,The SMAP mission combined active-passive soil moisture product at 9 km and 3 km spatial resolutions,"entekhabi, dara",Lincoln Lab,13,2018,0
20,Probing magnetism in 2D van der Waals crystalline insulators via electron tunneling,"klein, d. r.",Physical Department,252,2018,0
21,Inorganic fouling mitigation by salinity cycling in batch reverse osmosis,"warsinger, david m.",Mechanical Engineering Department,28,2018,0
22,Enantioselective Synthesis of (-)-Vallesine: Late-Stage C17-Oxidation via Complex Indole Boronation,"antropow, alyssa",Chemical Department,8,2018,0
23,"Maximizing ozone signals among chemical, meteorological, and climatological variability","brown-steiner, benjamin",Global Change Science Lab,4,2018,2
24,Time domain diffuse correlation spectroscopy: modeling the effects of laser coherence length and instrument response function,"shatrovoy, oleg",Lincoln Lab,10,2018,0
25,"From hindered to promoted settling in dispersions of attractive colloids: Simulation, modeling, and application to macromolecular characterization","fiore, andrew m.",Chemical Engineering Department,6,2018,0
26,Nano-engineering of construction materials using molecular dynamics simulations: Prospects and challenges,"lau, denvid",Civil & Environmental Engineering Department,29,2018,0
27,Were chondrites magnetized by the early solar wind?,"oran, rona",Earth Atmospheric & Planetary Science Department,7,2018,0
28,"High-gain (43 dB), high-power (40 W), highly efficient multipass amplifier at 995 nm in Yb:LiYF4","manni, jeffrey",Lincoln Lab,5,2018,0
29,Next-Generation Machine Learning for Biological Networks,"collins, katherine m.",Brain & Cognitive Science Department,157,2018,4
30,Surface (Electro)chemistry of CO2 on Pt Surface: An in Situ Surface-Enhanced Infrared Absorption Spectroscopy Study,"katayama, yu",Electrical Research Lab,5,2018,2
31,Printing ferromagnetic domains for untethered fast-transforming soft materials,"kim, yoonho",Mechanical Engineering Department,302,2018,2
32,Frequency Pulling and Mixing of Relaxation Oscillations in Superconducting Nanowires,"toomey, emily",Electrical Engineering & Computer Science Department,9,2018,0
34,Revealing the dark matter halo with axion direct detection,"rodd, nicholas l.",Theoretical Physical Lab,26,2018,0
35,Reaction: The Near Future of Artificial Intelligence in Materials Discovery,"gomez-bombarelli, rafael",Material Science & Engineering Department,4,2018,0
36,Fusion Energy Output Greater than the Kinetic Energy of an Imploding Shell at the National Ignition Facility,"gatu-johnson, m.",Plasma Science & Fusion Center,76,2018,0
37,Brain basis of cognitive resilience: Prefrontal cortex predicts better reading comprehension in relation to decoding,"gabrieli, john d. e.",Brain & Cognitive Science Department,6,2018,1
38,Unraveling the molecular mechanisms of thermo-responsive properties of silk-elastin-like proteins by integrating multiscale modeling and experiment,"yeo, jingjie",Civil & Environmental Engineering Department,10,2018,0
39,"Ultra-thin high-efficiency mid-infraredtransmissive Huygens meta-optics (vol 9, 2018)","zhang, li",Material Science & Engineering Department,0,2018,0
40,Laser Interference Lithography for the Nanofabrication of Stimuli-Responsive Bragg Stacks,"jiang, nan",Health Science & Technology Division,12,2018,0
41,Observation of a non-equilibrium steady state of cold atoms in a moving optical lattice,"kang, sungsam",Laser Biomedical Research Center,7,2018,0
42,Genetic inactivation of ANGPTL4 improves glucose homeostasis and is associated with reduced risk of diabetes,"altshuler, david",Biological Department,46,2018,0
43,Probe of spin dynamics in superconducting NbN thin films via spin pumping,"takamura, yota",Plasma Science & Fusion Center,12,2018,2
44,Examination of the perceived agility and balance during a reactive agility task,"stirling, leia",Aeronautics & Astronaut Department,1,2018,2
46,Gist Perception of Image Composition in Abstract Artworks,"mullin, caitlin",Computer Science & Artificial Intelligence Lab,12,2018,0
48,Accounting for tumor heterogeneity when using CRISPR-Cas9 for cancer progression and drug sensitivity studies,"mcallister, sandra s.",Broad Institute,1,2018,0
49,Structural stability as a consistent predictor of phenological events,"song, chuliang",Civil & Environmental Engineering Department,5,2018,0
50,Probiotic strains detect and suppress cholera in mice,"mao, ning",Medicine Engineering & Science Institute,49,2018,2
52,Integrated Molecular Characterization of Testicular Germ Cell Tumors,"shih, juliann",Broad Institute,109,2018,0
53,"A-Site Cation in Inorganic A(3)Sb(2)I(9) Perovskite Influences Structural Dimensionality, Exciton Binding Energy, and Solar Cell Performance","correa-baena, juan-pablo",Broad Institute,44,2018,0
54,Growth Rate and Cross-Linking Kinetics of Poly(divinyl benzene) Thin Films Formed via Initiated Chemical Vapor Deposition,"moni, priya",Material Science & Engineering Department,0,2018,1
55,Ionic-Liquid-Infused Nanostructures as Repellent Surfaces,"phillips, katherine r.",Chemical Engineering Department,14,2018,0
57,Maturation of polycistronic mRNAs by the endoribonuclease RNase Y and its associated Y-complex in Bacillus subtilis,"deloughery, aaron",Biological Department,22,2018,1
58,In vivo RNAi screening identifies Pafah1b3 as a target for combination therapy with TKIs in BCR-ABL1(+) BCP-ALL,"fiedler, eleanor r. c.",Koch Institute Integrative Cancer Research,1,2018,0
59,Enhanced Water Retention Maintains Energy Dissipation in Dehydrated Metal-Coordinate Polymer Networks: Another Role for Fe-Catechol Cross-Links?,"kim, sungjin",Material Science & Engineering Department,14,2018,0
60,Role of HSP90 in the Regulation of de Novo Purine Biosynthesis,"lindquist, susan",Biological Department,7,2018,0
61,Targeting Kruppel-like Factor 9 in Excitatory Neurons Protects against Chronic Stress-Induced Impairments in Dendritic Spines and Fear Responses,"sahay, amar",Broad Institute,6,2018,0
62,Jet Topics: Disentangling Quarks and Gluons at Colliders,"metodiev, eric m.",Theoretical Physical Lab,20,2018,0
63,Fluctuating hydrogen-bond networks govern anomalous electron transfer kinetics in a blue copper protein,"boekelheide, nicholas",Earth Atmospheric & Planetary Science Department,19,2018,0
