paper,area,year
1,Chemistry,2018.0
2,Geology,2018.0
3,Geology,2018.0
3,Geology,2018.0
3,Geology,2018.0
4,Chemistry,2018.0
4, Energy & Fuels,2018.0
4, Materials Science,2018.0
4, Physics,2018.0
5,Environmental Sciences & Ecology,2018.0
5, Meteorology & Atmospheric Sciences,2018.0
8,Construction & Building Technology,2018.0
8, Energy & Fuels,2018.0
8, Engineering,2018.0
9,Energy & Fuels,2018.0
9, Engineering,2018.0
10,Geochemistry & Geophysics,2018.0
10,Geochemistry & Geophysics,2018.0
10,Geochemistry & Geophysics,2018.0
11,Engineering,2018.0
11,Engineering,2018.0
12,Engineering,2018.0
12, Polymer Science,2018.0
12,Engineering,2018.0
12, Polymer Science,2018.0
12,Engineering,2018.0
12, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
13,Engineering,2018.0
13, Polymer Science,2018.0
14,Chemistry,2018.0
14, Electrochemistry,2018.0
14, Energy & Fuels,2018.0
14, Materials Science,2018.0
14,Chemistry,2018.0
14, Electrochemistry,2018.0
14, Energy & Fuels,2018.0
14, Materials Science,2018.0
14,Chemistry,2018.0
14, Electrochemistry,2018.0
14, Energy & Fuels,2018.0
14, Materials Science,2018.0
14,Chemistry,2018.0
14, Electrochemistry,2018.0
14, Energy & Fuels,2018.0
14, Materials Science,2018.0
15,Materials Science,2018.0
15, Physics,2018.0
15,Materials Science,2018.0
15, Physics,2018.0
15,Materials Science,2018.0
15, Physics,2018.0
15,Materials Science,2018.0
15, Physics,2018.0
16,Materials Science,2018.0
16, Physics,2018.0
16,Materials Science,2018.0
16, Physics,2018.0
16,Materials Science,2018.0
16, Physics,2018.0
18,Physics,2018.0
19,Environmental Sciences & Ecology,2018.0
19, Remote Sensing,2018.0
19, Imaging Science & Photographic Technology,2018.0
20,Science & Technology - Other Topics,2018.0
20,Science & Technology - Other Topics,2018.0
20,Science & Technology - Other Topics,2018.0
21,Engineering,2018.0
